Name,Link,ClassName
Microsoft,https://jobs.careers.microsoft.com/global/en/search?lc=United%20States&et=Internship&l=en_us&pg=1&pgSz=20&o=Relevance&flt=true,.MZGzlrn8gfgSs8TZHhv2
Uber,https://www.uber.com/us/en/careers/list/?department=University&location=USA-California-San%20Francisco&location=USA-California-Culver%20City&location=USA-California-Sunnyvale&location=USA-New%20York-New%20York&location=USA-Illinois-Chicago&location=USA-Washington-Seattle&location=USA-Florida-Miami&location=USA-Texas-Dallas&location=USA-Arizona-Phoenix&location=USA-District%20of%20Columbia-Washington&location=USA-Massachusetts-Boston,.css-fYOjwv
Google,https://www.google.com/about/careers/applications/jobs/results/?src=Online%2FGoogle%20Website%2FByF&utm_source=Online%20&utm_medium=careers_site%20&utm_campaign=ByF&distance=50&employment_type=INTERN&location=United%20States&company=X&company=Waymo&company=Wing&company=Verily%20Life%20Sciences&company=GFiber&company=Fitbit&company=Google&company=YouTube&sort_by=relevance,.QJPWVe
Nvidia,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/jobs?workerSubType=0c40f6bd1d8f10adf6dae42e46d44a17&locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,.css-19uc56f
Meta,https://www.metacareers.com/jobs?sort_by_new=true&roles[0]=Internship,._6g3g.x10lme4x.x26uert.xngnso2.x117nqv4.x1mnlqng.x1e096f4 
Netflix,https://explore.jobs.netflix.net/careers?domain=netflix.com&query=%22internship%22%20-intern&pid=790299250747&sort_by=relevance,.position-title.line-clamp.line-clamp-2
AWS,https://amazon.jobs/content/en/teams/amazon-web-services/internships?country%5B%5D=US&employment-type%5B%5D=Intern,div h3 a
Pinterest,https://www.pinterestcareers.com/jobs/?orderby=0&pagesize=20&page=1&radius=100&team=University,.stretched-link.js-view-job
Amazon,https://amazon.jobs/en/search?offset=0&result_limit=10&sort=relevant&category%5B%5D=software-development&country%5B%5D=USA&distanceType=Mi&radius=24km&latitude=&longitude=&loc_group_id=&loc_query=&base_query=intern&city=&country=&region=&county=&query_options=&,.job-link
ispace,https://jobs.lever.co/ispace-inc?commitment=Intern,.posting-title
Welch's,https://app.careerpuck.com/job-board/welchs/?departmentId=6vcaTkfP,.JobPageRow__Title-sc-v4dlgb-3.dCheey
Apple,https://jobs.apple.com/en-us/search?location=united-states-USA&team=internships-STDNT-INTRN,.link-inline.t-intro.word-wrap-break-word
IBM,https://www.ibm.com/careers/search?field_keyword_18[0]=Internship&field_keyword_05[0]=United%20States,.bx--card-group__cards__col
Salesforce,https://careers.salesforce.com/en/jobs/?search=&country=United+States+of+America&jobtype=Intern&pagesize=20#results,.stretched-link.js-view-job
LinkedIn,https://www.linkedin.com/jobs/search/?currentJobId=4242842435&f_C=1337%2C39939%2C2587638&f_E=1&geoId=92000000&origin=JOB_SEARCH_PAGE_JOB_FILTER&spellCorrectionEnabled=true,.disabled.ember-view.job-card-container__link.pPZqzVqpSJCAkkhnjilaGKwaIUlmKnwLnMTyE.job-card-list__title--link
Intel,https://intel.wd1.myworkdayjobs.com/External?workerSubType=dc8bf79476611087dfde99931439ae75&locations=1e4a4eb3adf10118b1dfe877bf8162d0,.css-19uc56f
